Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Due Date,Votes,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio
Enhance security protocols,EXMPL-2311,2311,Epic,Resolved,EXMPL,Example Project,Software,kylian.mbappe,"Song behavior wrong vote operation. Seven country use writer best.",https://example.com,Medium,success,kylian.mbappe,cristiano.ronaldo,virgil.vandijk,11/May/24 03:26 PM,11/May/24 07:07 AM,16/May/24 03:49 AM,20/May/24 04:53 PM,Component 1,11/May/24,27,label1, label2,"Car let language themselves difference. Study how quickly however.",specific,38h,15h,37h,99%
Upgrade legacy systems,EXMPL-2312,2312,Story,In Progress,EXMPL,Example Project,Software,kylian.mbappe,"True stock star nature guess. Either race ready financial.",https://example.com,High,failure,sergio.ramos,neymar.jr,kevin.debruyne,26/May/24 06:24 PM,28/May/24 11:31 AM,02/Jun/24 06:28 PM,,Component 1,26/May/24,30,label4, label2,"Should peace clear. Consumer available really effect.",spend,32h,3h,21h,91%
Improve code readability,EXMPL-2313,2313,Epic,Resolved,EXMPL,Example Project,Software,kylian.mbappe,"Speech data get. Series area federal. Memory result yet.",https://example.com,Medium,fixed,lionel.messi,harry.kane,robert.lewandowski,10/May/24 05:45 AM,18/May/24 09:05 PM,02/Jun/24 07:57 AM,10/Jun/24 08:47 PM,Component 3,10/May/24,38,label1, label3,"Job deep economic.\nShare ever option magazine.",who,30h,36h,37h,82%
Improve code readability,EXMPL-2314,2314,Epic,Resolved,EXMPL,Example Project,Software,kylian.mbappe,"Condition tough wish indeed firm evidence although nice.",https://example.com,Medium,unresolved,virgil.vandijk,robert.lewandowski,harry.kane,01/May/24 12:07 PM,18/May/24 02:53 AM,11/Jun/24 05:40 PM,19/Jun/24 04:30 AM,Component 1,01/May/24,2,label3, label4,"Agree factor answer majority financial. Themselves nice no glass per.",public,39h,7h,16h,53%
Automate deployment pipeline,EXMPL-2315,2315,Task,Open,EXMPL,Example Project,Software,kylian.mbappe,"Husband project modern. Old series long consumer answer every.",https://example.com,Critical,incomplete,cristiano.ronaldo,luka.modric,kevin.debruyne,06/Jul/24 04:22 PM,21/Jul/24 10:45 PM,29/Jul/24 12:17 PM,,Component 1,06/Jul/24,31,label2, label4,"Build why talk former art possible. Type face left.",you,12h,23h,18h,89%
Upgrade legacy systems,EXMPL-2316,2316,Bug,Closed,EXMPL,Example Project,Software,kylian.mbappe,"Line large benefit husband explain food population purpose.",https://example.com,Low,duplicate,kevin.debruyne,sergio.ramos,lionel.messi,07/Jun/24 12:11 AM,17/Jun/24 07:12 AM,30/Jun/24 09:44 PM,23/Jun/24 01:00 AM,Component 2,07/Jun/24,70,label1, label4,"Civil responsibility kind risk man small. Red team available.",political,21h,7h,1h,61%
Automate deployment pipeline,EXMPL-2317,2317,Task,Closed,EXMPL,Example Project,Software,kylian.mbappe,"Religious bill like south style. Decision need series.",https://example.com,Medium,won't fix,virgil.vandijk,luka.modric,sergio.ramos,09/May/24 03:52 AM,13/Jun/24 08:38 PM,04/Jul/24 07:21 PM,15/Jun/24 07:58 AM,Component 1,09/May/24,88,label3, label2,"Interest listen family skill main. Effect fly manage perform.",thousand,1h,36h,26h,96%
Enhance user interface design,EXMPL-2318,2318,Story,Closed,EXMPL,Example Project,Software,kylian.mbappe,"Evidence fish statement partner. During down wait property teacher list.",https://example.com,Medium,incomplete,lionel.messi,kylian.mbappe,robert.lewandowski,10/May/24 04:47 AM,02/Jun/24 10:18 PM,24/Jun/24 06:53 AM,13/Jun/24 05:09 AM,Component 2,10/May/24,23,label3, label4,"As record treatment partner present century let smile.",when,36h,11h,34h,51%
Optimize database queries,EXMPL-2319,2319,Task,Resolved,EXMPL,Example Project,Software,kylian.mbappe,"Mouth image look weight. Move truth soon another finish space.",https://example.com,High,fixed,kylian.mbappe,cristiano.ronaldo,kevin.debruyne,11/Jul/24 01:22 PM,25/Jul/24 03:07 PM,02/Aug/24 06:24 PM,08/Aug/24 01:38 AM,Component 1,11/Jul/24,7,label1, label4,"Exist remember bring attention no deep. Church game say study.",show,35h,40h,33h,80%
Implement asynchronous processing,EXMPL-2320,2320,Story,Open,EXMPL,Example Project,Software,kylian.mbappe,"Piece up write. Recognize point position win whose cover scientist.",https://example.com,Medium,done,harry.kane,sergio.ramos,cristiano.ronaldo,19/Apr/24 07:40 AM,08/May/24 05:33 PM,22/May/24 11:18 PM,,Component 1,19/Apr/24,49,label2, label3,"Who old understand seven. Find gun someone always trip.",kid,22h,12h,23h,88%
